song_title,song_id,artists,is_sexist,main_artist,artist_name,pct_songs_sexist_weighted,avg_sexist_prob
Allein,7ba37ded-ac98-4f77-8ad9-cc0308bd9ed1,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Atme ein atme aus,ae811a17-4521-4117-872d-5553b8a1bcf6,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Der perfekte Beat,deb1fdc3-282d-4157-aa2b-1f25b7d6123a,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Diggi,cc5a38e8-9b6b-4693-8bec-8cd72105b32f,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Frau für eine Nacht,a240475b-b640-4c96-8c91-1764590ffeba,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Ja ich bin Hipster,4476e4b9-e972-4990-8a35-e41b3f88ae7b,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Lass mich los,29c3115a-6984-4fca-8d39-f0ac5f3a5471,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Stroboskop,d1c3f67a-50d9-4f1f-be78-0264b5293a12,ERRdeKa,1,ERRdeKa,ERRdeKa,83.33333333333334,0.9944202601909637
Albanais,848aec47-9a38-4cd9-9355-c90935197dcf,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
Bleiben wach,954a1aea-342a-4204-a6ad-33b1f5330a50,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
CKPU,178f4fef-0d8b-46c4-b621-6de5f13c4ad7,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
Guayaquil,19bb41c7-3a93-4dc1-8903-659986061531,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
Intro (Meine Straße),d56f9cde-7eca-4d07-ace9-d19a901a78e2,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
Nur ein Versuch,bd7bdf14-1f78-44fd-91fe-fc9fe75fd487,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
Was jetzt,7d7e6e6a-43b8-48e8-9810-1bb4895ed2b2,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
Woher (Snippet),66fa68f1-b395-4a6d-ac23-b64b7d614872,Albi,1,Albi,Albi,83.33333333333334,0.9920148253440857
3. Halbzeit,6253d19d-d3d7-49bb-9098-1c8b2158f575,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
Anfangsstadium,55a22dcc-bb77-45b5-863e-c72c50359c69,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
Fehdehandschuh,f291036d-23d7-4045-bede-4bee38eedf70,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
Flipstar,952151fd-16c2-44f3-936e-6cc14a9db957,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
Lass die Puppen tanzen,329050a6-427b-4a86-ad09-97d464084244,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
"Rhymes, Weed, Cash, Beatz",bd80448a-8342-4c21-b078-52f0e9fa9a8d,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
Wer meint´s ernst,5ac584b0-a8dc-4257-84b7-cf303fd76663,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
Zugzwang,7f7d6bcc-e503-4132-97bd-3782c9473bc8,Creutzfeld & Jakob,1,Creutzfeld & Jakob,Creutzfeld & Jakob,83.33333333333334,0.9918342977762222
Druckbetankung,7ce79e0b-b988-4fa7-9d98-0b4bafecd5af,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
Er & Ich 2009,c7fd3b2b-760b-40f8-af25-6e3fc7997668,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
Ich regel das,b55a0da5-902e-40d5-bb0f-e9c6a82799aa,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
Im Alleingang,aa9475ab-04fc-407f-9876-0f4453554580,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
Pechschwarz,e466e07f-df18-4418-9f5d-bca48d828634,Shiml,1,Shiml,Shiml,83.33333333333334,0.9915751963853836
